"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"498","SRP14",5.21960879213022e-17,-0.310124491246786,0.928,0.961,8.50535252677619e-13
"499","EBNA1BP2",5.31028700194605e-17,0.446999213713786,0.542,0.339,8.65311266967109e-13
"500","TXNDC17",5.71312410849053e-17,-0.454291047775008,0.351,0.519,9.30953573478532e-13
"501","EIF1AY",7.16649733852062e-17,0.331426699130778,0.114,0.01,1.16778074131194e-12
"502","KDM6B",7.45450456976775e-17,0.62956999279196,0.686,0.531,1.21471151964365e-12
"503","CLECL1",7.76657273492231e-17,-0.44822171830478,0.046,0.164,1.26556302715559e-12
"504","SHISA5",7.9660689077471e-17,-0.445283488635465,0.349,0.529,1.29807092851739e-12
"505","S1PR1",7.96619828166873e-17,0.34008769940857,0.108,0.007,1.29809200999792e-12
"506","DEK",8.09388066364831e-17,-0.402091346495332,0.698,0.812,1.31889785414149e-12
"507","KCNN4",8.12162944326109e-17,-0.447121641118465,0.078,0.214,1.3234195177794e-12
"508","SYNJ2",8.2712707422116e-17,-0.491589909176651,0.152,0.306,1.34780356744338e-12
"509","FAM45A",8.82997168176686e-17,-0.339350959216246,0.044,0.159,1.43884388554391e-12
"510","CDK4",8.92603945229734e-17,0.532244639605586,0.451,0.277,1.45449812875185e-12
"511","ADAM19",9.98325877553065e-17,-0.532229459179242,0.102,0.243,1.62677201747272e-12
"512","DCTPP1",1.01036413481006e-16,0.511330653395033,0.464,0.287,1.64638835767299e-12
"513","CCDC107",1.10389621163202e-16,-0.468893106273797,0.182,0.346,1.79879887685438e-12
"514","GRPEL1",1.15554717214709e-16,0.470742718892523,0.515,0.33,1.88296411701368e-12
"515","PFN1",1.15980248577532e-16,-0.34442351296851,0.969,0.981,1.88989815057089e-12
"516","WAS",1.16052174824443e-16,-0.420494209727874,0.218,0.394,1.8910701887643e-12
"517","FAM102A",1.16266271984058e-16,0.392904806796121,0.143,0.025,1.89455890198022e-12
"518","DKC1",1.21386301051652e-16,0.489587095103244,0.465,0.268,1.97798977563668e-12
"519","TNFRSF18",1.29591119170292e-16,-0.390437003487544,0.276,0.465,2.11168728687992e-12
"520","GNPDA1",1.37519780993505e-16,0.49320924270264,0.266,0.106,2.24088483128917e-12
"521","TAF1D",1.43007868660388e-16,0.522642874765581,0.626,0.449,2.33031321982102e-12
"522","WDR43",1.58139354094063e-16,0.484902776127774,0.406,0.223,2.57688077496276e-12
"523","LIMA1",1.76835971777078e-16,-0.304416646866951,0.031,0.136,2.88154216010748e-12
"524","KLRC2",1.95048210074086e-16,-0.363443839811071,0.032,0.136,3.17831058315723e-12
"525","TRIM8",2.05078969008972e-16,-0.412069743666396,0.073,0.203,3.34176180000119e-12
"526","MTRNR2L12",2.0606128571908e-16,0.515821672062182,0.997,0.986,3.35776865079241e-12
"527","PLK3",2.10150132499311e-16,0.513130911844638,0.312,0.147,3.42439640907627e-12
"528","TMEM14C",2.29788681422859e-16,-0.37462578908853,0.071,0.197,3.74440656378549e-12
"529","OSTF1",2.37543905522934e-16,-0.44039908381259,0.229,0.402,3.8707779404962e-12
"530","ELF1",3.34972748175331e-16,-0.45110693192647,0.587,0.734,5.45838093151702e-12
"531","CRYBG1",3.34979118752188e-16,0.494838625608095,0.206,0.067,5.4584847400669e-12
"532","DDX39A",3.48467557627654e-16,0.50933582268645,0.575,0.413,5.67827885154262e-12
"533","ZNRF1",3.54783268799873e-16,-0.372029919295096,0.044,0.157,5.78119336509392e-12
"534","PDE4D",3.59378834621451e-16,-0.479162150365858,0.266,0.446,5.85607811015655e-12
"535","UGCG",4.26431689421588e-16,-0.423141914006511,0.093,0.228,6.94870437912478e-12
"536","ZFP36",4.51300925223014e-16,0.936575852090426,0.543,0.388,7.35394857650902e-12
"537","PRKAR1A",4.54659110869033e-16,-0.464269709064522,0.397,0.566,7.40867021161089e-12
"538","SLC25A5",5.53284821272127e-16,0.445851245834416,0.797,0.701,9.01577616262931e-12
"539","IFI44",5.59918270351227e-16,-0.460571269568087,0.111,0.259,9.12386821537325e-12
"540","ADK",5.65343148203502e-16,0.447047080942508,0.304,0.138,9.21226659997607e-12
"541","RPL31",5.84216750490918e-16,0.328783105462937,0.939,0.898,9.51981194924951e-12
"542","WDR1",6.14237130306106e-16,-0.382841966340155,0.676,0.784,1.0008994038338e-11
"543","MT-ND5",7.33616264094407e-16,0.352698023594374,0.961,0.958,1.19542770234184e-11
"544","CXCR4",8.28130527312783e-16,0.603609541157285,0.201,0.064,1.34943869425618e-11
